org.andengine.entity.sprite.batch.vbo.HighPerformanceSpriteBatchVertexBufferObject	public void addWithPackedColor(org.andengine.opengl.texture.region.ITextureRegion, float, float, float, float, float, float, float, float, float) 	bufferData	B1	0/75
org.andengine.entity.sprite.batch.vbo.HighPerformanceSpriteBatchVertexBufferObject	public void addWithPackedColor(org.andengine.opengl.texture.region.ITextureRegion, float, float, float, float, float) 	bufferData	B1	0/71
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.TiledSprite) 	bufferData	B1	0/55
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.TiledSprite) 	bufferData	B2	0/51
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.TiledSprite) 	bufferData	B3	0/49
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.TiledSprite) 	bufferData	B10	0/25
org.andengine.entity.sprite.vbo.HighPerformanceDiamondSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/44
org.andengine.entity.sprite.vbo.HighPerformanceDiamondSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B8	0/19
org.andengine.entity.sprite.vbo.HighPerformanceSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/42
org.andengine.entity.sprite.vbo.HighPerformanceSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B8	0/17
org.andengine.entity.sprite.vbo.HighPerformanceUncoloredSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/42
org.andengine.entity.sprite.vbo.HighPerformanceUncoloredSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B8	0/17
org.andengine.entity.sprite.vbo.HighPerformanceUniformColorSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/42
org.andengine.entity.sprite.vbo.HighPerformanceUniformColorSpriteVertexBufferObject	public void onUpdateTextureCoordinates(org.andengine.entity.sprite.Sprite) 	bufferData	B8	0/17
org.andengine.entity.modifier.CardinalSplineMoveModifier	protected void onManagedUpdate(float, org.andengine.entity.IEntity) 	pEntity	B4	0/23
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateVertices(org.andengine.entity.sprite.TiledSprite) 	bufferData	B1	0/21
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateVertices(org.andengine.entity.sprite.TiledSprite) 	bufferData	B2	0/14
org.andengine.entity.scene.menu.animator.AlphaMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	offsetY	B2	0/17
org.andengine.entity.scene.menu.animator.AlphaMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	offsetY	B3	0/16
org.andengine.entity.scene.menu.animator.AlphaMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	offsetY	B7	0/3
org.andengine.entity.scene.menu.animator.DirectMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	offsetY	B2	0/16
org.andengine.entity.scene.menu.animator.DirectMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	offsetY	B3	0/15
org.andengine.entity.scene.menu.animator.DirectMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	offsetY	B7	0/2
org.andengine.entity.scene.menu.animator.SlideMenuAnimator	public void buildAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	menuItem	B3	0/16
org.andengine.entity.scene.menu.animator.SlideMenuAnimator	public void buildAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	menuItem	B7	0/3
org.andengine.entity.sprite.vbo.HighPerformanceDiamondSpriteVertexBufferObject	public void onUpdateVertices(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/15
org.andengine.entity.scene.menu.animator.AlphaMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	menuItem	B3	0/15
org.andengine.entity.scene.menu.animator.AlphaMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	menuItem	B7	0/2
org.andengine.entity.scene.menu.animator.DirectMenuAnimator	public void prepareAnimations(ArrayList<org.andengine.entity.scene.menu.item.IMenuItem>, float, float) 	menuItem	B3	0/14
org.andengine.entity.primitive.vbo.HighPerformanceRectangleVertexBufferObject	public void onUpdateVertices(org.andengine.entity.primitive.Rectangle) 	bufferData	B1	0/13
org.andengine.entity.sprite.vbo.HighPerformanceSpriteVertexBufferObject	public void onUpdateVertices(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/13
org.andengine.entity.sprite.vbo.HighPerformanceUncoloredSpriteVertexBufferObject	public void onUpdateVertices(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/13
org.andengine.entity.sprite.vbo.HighPerformanceUniformColorSpriteVertexBufferObject	public void onUpdateVertices(org.andengine.entity.sprite.Sprite) 	bufferData	B1	0/13
org.andengine.util.algorithm.collision.RectangularShapeCollisionChecker	public static void fillVertices(float, float, float, float, org.andengine.util.adt.transformation.Transformation, float[]) 	pVertices	B1	0/12
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateColor(org.andengine.entity.sprite.TiledSprite) 	bufferData	B1	0/12
org.andengine.entity.sprite.vbo.HighPerformanceTiledSpriteVertexBufferObject	public void onUpdateColor(org.andengine.entity.sprite.TiledSprite) 	bufferData	B2	0/8
org.andengine.entity.text.vbo.HighPerformanceTextVertexBufferObject	public void onUpdateColor(org.andengine.entity.text.Text) 	bufferData	B1	0/12
org.andengine.entity.text.vbo.HighPerformanceTextVertexBufferObject	public void onUpdateColor(org.andengine.entity.text.Text) 	bufferData	B2	0/8
org.andengine.engine.handler.physics.PhysicsHandler	protected void onUpdate(float, org.andengine.entity.IEntity) 	pEntity	B2	0/12
org.andengine.engine.handler.physics.PhysicsHandler	protected void onUpdate(float, org.andengine.entity.IEntity) 	pEntity	B4	0/7
org.andengine.util.level.LevelParser	public void startElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes) throws org.xml.sax.SAXException	entity	B1	0/11
org.andengine.util.level.LevelParser	public void startElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes) throws org.xml.sax.SAXException	entity	B6	0/2
org.andengine.util.adt.io.out.ByteBufferOutputStream	private void grow(int) 	newCapacity	B1	0/9
org.andengine.opengl.texture.region.TiledTextureRegion	public static org.andengine.opengl.texture.region.TiledTextureRegion create(org.andengine.opengl.texture.ITexture, int, int, int, int, int, int, boolean) 	textureRegions	B1	0/9
org.andengine.opengl.texture.region.TiledTextureRegion	public static org.andengine.opengl.texture.region.TiledTextureRegion create(org.andengine.opengl.texture.ITexture, int, int, int, int, int, int, boolean) 	textureRegions	B2	0/6
org.andengine.opengl.texture.region.TiledTextureRegion	public static org.andengine.opengl.texture.region.TiledTextureRegion create(org.andengine.opengl.texture.ITexture, int, int, int, int, int, int, boolean) 	textureRegions	B3	0/5
org.andengine.opengl.texture.region.TiledTextureRegion	public static org.andengine.opengl.texture.region.TiledTextureRegion create(org.andengine.opengl.texture.ITexture, int, int, int, int, int, int, boolean) 	textureRegions	B4	0/4
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(byte[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(byte[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(byte[]) 	pArray	B5	0/3
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(double[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(double[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(double[]) 	pArray	B5	0/3
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(float[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(float[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(float[]) 	pArray	B5	0/3
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(int[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(int[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(int[]) 	pArray	B5	0/3
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(java.lang.Object[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(java.lang.Object[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(java.lang.Object[]) 	pArray	B5	0/3
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(long[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(long[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(long[]) 	pArray	B5	0/3
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(short[]) 	pArray	B3	0/9
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(short[]) 	pArray	B4	0/6
org.andengine.util.adt.array.ArrayUtils	public static final void reverse(short[]) 	pArray	B5	0/3
org.andengine.util.level.LevelParser	public void startElement(java.lang.String, java.lang.String, java.lang.String, org.xml.sax.Attributes) throws org.xml.sax.SAXException	entity	B1	0/8
org.andengine.util.algorithm.sort.InsertionSorter	public void sort(T[], int, int, Comparator<T>) 	pArray	B1	0/8
org.andengine.util.algorithm.sort.InsertionSorter	public void sort(T[], int, int, Comparator<T>) 	pArray	B2	0/7
org.andengine.util.algorithm.sort.InsertionSorter	public void sort(T[], int, int, Comparator<T>) 	pArray	B3	0/4
org.andengine.util.modifier.ParallelModifier	public float onUpdate(float, T) 	secondsElapsedRemaining	B3	0/8
org.andengine.util.modifier.ParallelModifier	public float onUpdate(float, T) 	secondsElapsedRemaining	B4	0/5
org.andengine.util.modifier.ParallelModifier	public float onUpdate(float, T) 	secondsElapsedRemaining	B5	0/4
org.andengine.util.modifier.ParallelModifier	public float onUpdate(float, T) 	secondsElapsedRemaining	B6	0/3
org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory	public static org.andengine.opengl.texture.region.TiledTextureRegion createTiledFromAssetDirectory(org.andengine.opengl.texture.atlas.bitmap.BuildableBitmapTextureAtlas, android.content.res.AssetManager, java.lang.String) 	textures	B1	0/8
org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory	public static org.andengine.opengl.texture.region.TiledTextureRegion createTiledFromAssetDirectory(org.andengine.opengl.texture.atlas.bitmap.BuildableBitmapTextureAtlas, android.content.res.AssetManager, java.lang.String) 	textures	B2	0/3
org.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlasTextureRegionFactory	public static org.andengine.opengl.texture.region.TiledTextureRegion createTiledFromAssetDirectory(org.andengine.opengl.texture.atlas.bitmap.BuildableBitmapTextureAtlas, android.content.res.AssetManager, java.lang.String) 	textures	B3	0/2
org.andengine.opengl.view.EngineRenderer	public void onSurfaceCreated(javax.microedition.khronos.opengles.GL10, javax.microedition.khronos.egl.EGLConfig) 	mRendererListener	B1	0/7
org.andengine.util.algorithm.sort.InsertionSorter	public void sort(IList<T>, int, int, Comparator<T>) 	pList	B2	0/7
org.andengine.entity.particle.BatchedPseudoSpriteParticleSystem	protected void onManagedDraw(org.andengine.opengl.util.GLState, org.andengine.engine.camera.Camera) 	pGLState	B2	0/7
org.andengine.entity.particle.BatchedPseudoSpriteParticleSystem	protected void onManagedDraw(org.andengine.opengl.util.GLState, org.andengine.engine.camera.Camera) 	pGLState	B4	0/2
org.andengine.entity.particle.BatchedSpriteParticleSystem	protected void onManagedDraw(org.andengine.opengl.util.GLState, org.andengine.engine.camera.Camera) 	pGLState	B2	0/7
org.andengine.entity.particle.BatchedSpriteParticleSystem	protected void onManagedDraw(org.andengine.opengl.util.GLState, org.andengine.engine.camera.Camera) 	pGLState	B4	0/2
org.andengine.util.algorithm.sort.InsertionSorter	public void sort(IList<T>, int, int, Comparator<T>) 	prev	B2	0/7
org.andengine.engine.camera.hud.controls.BaseOnScreenControl	protected void onUpdateControlKnob(float, float) 	controlKnob	B1	0/6
org.andengine.engine.camera.hud.controls.BaseOnScreenControl	protected void onUpdateControlKnob(float, float) 	mControlKnob	B1	0/6
org.andengine.entity.primitive.vbo.HighPerformanceRectangleVertexBufferObject	public void onUpdateColor(org.andengine.entity.primitive.Rectangle) 	bufferData	B1	0/6
