Complexity metrics,Sex, 17 nov 2017 11:09:50 BRST
Method,ev(G),iv(G),v(G)
"org.apache.tools.ant.ArgumentProcessorRegistry.registerArgumentProcessor(Class<? extends ArgumentProcessor>)",1,1,1
"org.apache.tools.ant.ArgumentProcessorRegistry.registerArgumentProcessor(String)",1,1,1
"org.apache.tools.ant.BuildEvent.BuildEvent(Project)",1,1,1
"org.apache.tools.ant.BuildEvent.BuildEvent(Target)",1,1,1
"org.apache.tools.ant.BuildEvent.BuildEvent(Task)",1,1,1
"org.apache.tools.ant.BuildEvent.getException()",1,1,1
"org.apache.tools.ant.BuildEvent.getMessage()",1,1,1
"org.apache.tools.ant.BuildEvent.getPriority()",1,1,1
"org.apache.tools.ant.BuildEvent.getProject()",1,1,1
"org.apache.tools.ant.BuildEvent.getTarget()",1,1,1
"org.apache.tools.ant.BuildEvent.getTask()",1,1,1
"org.apache.tools.ant.BuildEvent.setException(Throwable)",1,1,1
"org.apache.tools.ant.BuildEvent.setMessage(String,int)",1,1,1
"org.apache.tools.ant.BuildException.BuildException()",1,1,1
"org.apache.tools.ant.BuildException.BuildException(String)",1,1,1
"org.apache.tools.ant.BuildException.BuildException(String,Location)",1,1,1
"org.apache.tools.ant.BuildException.BuildException(String,Throwable)",1,1,1
"org.apache.tools.ant.BuildException.BuildException(String,Throwable,Location)",1,1,1
"org.apache.tools.ant.BuildException.BuildException(Throwable)",1,1,1
"org.apache.tools.ant.BuildException.BuildException(Throwable,Location)",1,1,1
"org.apache.tools.ant.BuildException.getException()",1,1,1
"org.apache.tools.ant.BuildException.getLocation()",1,1,1
"org.apache.tools.ant.BuildException.setLocation(Location)",1,1,1
"org.apache.tools.ant.BuildException.toString()",1,1,1
"org.apache.tools.ant.ComponentHelper.ComponentHelper()",1,1,1
"org.apache.tools.ant.ComponentHelper.addDataTypeDefinition(AntTypeDefinition)",1,2,2
"org.apache.tools.ant.ComponentHelper.addDataTypeDefinition(String,Class<?>)",1,1,1
"org.apache.tools.ant.ComponentHelper.addTaskDefinition(String,Class<?>)",1,1,1
"org.apache.tools.ant.ComponentHelper.checkNamespace(String)",3,2,5
"org.apache.tools.ant.ComponentHelper.checkTaskClass(Class<?>)",3,5,5
"org.apache.tools.ant.ComponentHelper.createComponent(String)",1,2,2
"org.apache.tools.ant.ComponentHelper.createComponent(UnknownElement,String,String)",1,2,2
"org.apache.tools.ant.ComponentHelper.createDataType(String)",1,1,1
"org.apache.tools.ant.ComponentHelper.createNewTask(String)",4,3,5
"org.apache.tools.ant.ComponentHelper.createTask(String)",1,3,3
"org.apache.tools.ant.ComponentHelper.diagnoseCreationFailure(String,String)",1,16,17
"org.apache.tools.ant.ComponentHelper.enterAntLib(String)",1,1,1
"org.apache.tools.ant.ComponentHelper.exitAntLib()",1,2,2
"org.apache.tools.ant.ComponentHelper.findTypeMatches(String)",1,3,3
"org.apache.tools.ant.ComponentHelper.getAntTypeTable()",1,1,1
"org.apache.tools.ant.ComponentHelper.getCheckedNamespace()",1,1,1
"org.apache.tools.ant.ComponentHelper.getClassLoader(ClassLoader)",1,3,3
"org.apache.tools.ant.ComponentHelper.getComponentClass(String)",1,2,2
"org.apache.tools.ant.ComponentHelper.getComponentHelper(Project)",3,1,3
"org.apache.tools.ant.ComponentHelper.getCurrentAntlibUri()",1,1,1
"org.apache.tools.ant.ComponentHelper.getDataTypeDefinitions()",4,4,5
"org.apache.tools.ant.ComponentHelper.getDefaultDefinitions(boolean)",3,2,7
