Package,v(G)avg,v(G)tot
"com.android","2,80",14
"com.android.assetstudiolib","2,58",116
"com.android.ddmlib","2,37",1.634
"com.android.ddmlib.log","3,70",281
"com.android.ddmlib.testrunner","2,14",227
"com.android.ddmlib.utils","1,00",4
"com.android.draw9patch","3,50",7
"com.android.draw9patch.graphics","2,00",16
"com.android.draw9patch.ui","3,27",209
"com.android.draw9patch.ui.action","1,14",8
"com.android.dvlib","2,82",31
"com.android.ide.common.api","1,74",207
"com.android.ide.common.rendering","3,06",107
"com.android.ide.common.rendering.api","1,22",235
"com.android.ide.common.rendering.legacy","1,33",4
"com.android.ide.common.resources","3,27",539
"com.android.ide.common.resources.configuration","1,75",585
"com.android.ide.common.xml","2,71",222
"com.android.io","1,57",47
"com.android.layoutlib.api","1,67",5
"com.android.manifmerger","6,02",373
"com.android.ninepatch","2,83",102
"com.android.prefs","3,50",14
"com.android.resources","1,76",223
"com.android.sdklib","2,89",387
"com.android.sdklib.build","3,54",262
"com.android.sdklib.devices","2,38",573
"com.android.sdklib.internal.avd","4,66",326
"com.android.sdklib.internal.build","2,33",100
"com.android.sdklib.internal.project","4,41",238
"com.android.sdklib.internal.repository","4,99",494
"com.android.sdklib.internal.repository.archives","4,59",266
"com.android.sdklib.internal.repository.packages","3,12",812
"com.android.sdklib.internal.repository.sources","3,79",349
"com.android.sdklib.io","2,59",57
"com.android.sdklib.repository","1,25",15
"com.android.sdklib.util","3,44",313
"com.android.sdkstats","3,31",129
"com.android.tools.lint","5,26",589
"com.android.tools.lint.checks","5,12",3.886
"com.android.tools.lint.client.api","4,15",979
"com.android.tools.lint.detector.api","2,87",677
"com.android.util","2,57",18
"com.android.utils","4,18",255
"com.android.xml","2,37",45

