Package,v(G)avg,v(G)tot
"org.andengine","1,80",9
"org.andengine.audio","1,12",27
"org.andengine.audio.exception","1,00",4
"org.andengine.audio.music","1,09",25
"org.andengine.audio.music.exception","1,00",4
"org.andengine.audio.sound","1,34",47
"org.andengine.audio.sound.exception","1,00",4
"org.andengine.engine","1,60",138
"org.andengine.engine.camera","1,44",187
"org.andengine.engine.camera.hud","1,00",1
"org.andengine.engine.camera.hud.controls","2,16",54
"org.andengine.engine.handler","1,25",15
"org.andengine.engine.handler.collision","2,50",10
"org.andengine.engine.handler.physics","1,30",26
"org.andengine.engine.handler.runnable","1,33",4
"org.andengine.engine.handler.timer","1,55",17
"org.andengine.engine.options","1,00",40
"org.andengine.engine.options.resolutionpolicy","1,30",13
"org.andengine.engine.splitscreen","1,35",35
"org.andengine.entity","1,62",260
"org.andengine.entity.modifier","1,04",264
"org.andengine.entity.particle","1,42",68
"org.andengine.entity.particle.emitter","1,00",34
"org.andengine.entity.particle.initializer","1,05",59
"org.andengine.entity.particle.modifier","1,07",49
"org.andengine.entity.primitive","1,08",57
"org.andengine.entity.primitive.vbo","1,07",16
"org.andengine.entity.scene","2,09",111
"org.andengine.entity.scene.background","1,25",45
"org.andengine.entity.scene.background.modifier","1,00",29
"org.andengine.entity.scene.menu","1,55",31
"org.andengine.entity.scene.menu.animator","1,44",52
"org.andengine.entity.scene.menu.item","1,00",50
"org.andengine.entity.scene.menu.item.decorator","1,00",160
"org.andengine.entity.shape","1,22",44
"org.andengine.entity.sprite","1,27",228
"org.andengine.entity.sprite.batch","1,22",121
"org.andengine.entity.sprite.batch.vbo","1,40",14
"org.andengine.entity.sprite.vbo","2,28",82
"org.andengine.entity.text","1,10",87
"org.andengine.entity.text.exception","1,00",8
"org.andengine.entity.text.vbo","3,67",22
"org.andengine.entity.util","1,34",43
"org.andengine.input.sensor","1,00",8
"org.andengine.input.sensor.acceleration","1,00",15
"org.andengine.input.sensor.location","1,00",8
"org.andengine.input.sensor.orientation","1,19",19
"org.andengine.input.touch","1,00",17
"org.andengine.input.touch.controller","1,47",25
"org.andengine.input.touch.detector","2,10",147
"org.andengine.opengl","1,40",7
"org.andengine.opengl.exception","1,10",11
"org.andengine.opengl.font","1,90",254
"org.andengine.opengl.font.exception","1,00",8
"org.andengine.opengl.shader","1,71",106
"org.andengine.opengl.shader.exception","1,00",5
"org.andengine.opengl.shader.source","1,62",13
"org.andengine.opengl.texture","1,80",97
"org.andengine.opengl.texture.atlas","1,68",37
"org.andengine.opengl.texture.atlas.bitmap","1,31",63
"org.andengine.opengl.texture.atlas.bitmap.source","1,17",35
"org.andengine.opengl.texture.atlas.bitmap.source.decorator","1,09",70
"org.andengine.opengl.texture.atlas.bitmap.source.decorator.shape","1,29",22
"org.andengine.opengl.texture.atlas.buildable","1,11",42
"org.andengine.opengl.texture.atlas.buildable.builder","2,32",44
"org.andengine.opengl.texture.atlas.source","1,00",10
"org.andengine.opengl.texture.bitmap","1,48",34
"org.andengine.opengl.texture.compressed.etc1","1,20",12
"org.andengine.opengl.texture.compressed.pvr","1,35",88
"org.andengine.opengl.texture.compressed.pvr.pixelbufferstrategy","1,67",15
"org.andengine.opengl.texture.region","1,13",96
"org.andengine.opengl.texture.render","1,24",36
"org.andengine.opengl.util","1,52",196
"org.andengine.opengl.util.criteria","1,22",22
"org.andengine.opengl.vbo","1,40",102
"org.andengine.opengl.vbo.attribute","1,40",21
"org.andengine.opengl.view","2,34",68
"org.andengine.ui.activity","1,70",114
"org.andengine.ui.dialog","1,57",11
"org.andengine.util","1,76",187
"org.andengine.util.adt.array","2,31",90
"org.andengine.util.adt.bit","4,27",47
"org.andengine.util.adt.bounds","1,22",22
"org.andengine.util.adt.cache","1,56",50
"org.andengine.util.adt.cache.concurrent","1,00",12
"org.andengine.util.adt.data","1,00",1
"org.andengine.util.adt.data.operator","1,00",52
"org.andengine.util.adt.io.in","1,00",7
"org.andengine.util.adt.io.out","1,57",11
"org.andengine.util.adt.list","1,75",229
"org.andengine.util.adt.list.concurrent","1,00",13
"org.andengine.util.adt.map","2,42",97
"org.andengine.util.adt.pool","1,41",79
"org.andengine.util.adt.queue","1,36",30
"org.andengine.util.adt.queue.concurrent","1,00",17
"org.andengine.util.adt.spatial.bounds.util","2,56",41
"org.andengine.util.adt.spatial.quadtree","2,47",358
"org.andengine.util.adt.transformation","1,04",26
"org.andengine.util.adt.trie","1,80",18
"org.andengine.util.algorithm","1,29",9
"org.andengine.util.algorithm.collision","2,26",52
"org.andengine.util.algorithm.hull","4,50",18
"org.andengine.util.algorithm.path","2,90",61
"org.andengine.util.algorithm.path.astar","3,23",42
"org.andengine.util.algorithm.sort","3,00",18
"org.andengine.util.animationpack","2,20",33
"org.andengine.util.animationpack.exception","1,00",4
"org.andengine.util.base64","4,44",111
"org.andengine.util.color","1,28",69
"org.andengine.util.debug","1,93",137
"org.andengine.util.exception","1,00",23
"org.andengine.util.level","1,62",26
"org.andengine.util.levelstats","4,00",12
"org.andengine.util.math","1,54",54
"org.andengine.util.mime","1,00",2
"org.andengine.util.modifier","1,41",161
"org.andengine.util.modifier.ease","1,43",177
"org.andengine.util.modifier.util","2,00",2
"org.andengine.util.preferences","1,40",7
"org.andengine.util.progress","1,14",8
"org.andengine.util.system","1,60",40
"org.andengine.util.texturepack","1,77",71
"org.andengine.util.texturepack.exception","1,00",4

