Method,ev(G),iv(G),v(G)
"null.call(IEntity)",1,1,1
"null.check(String,String)",1,1,1
"null.check(byte,byte)",1,1,1
"null.check(char,char)",1,1,1
"null.check(double,double)",1,1,1
"null.check(float,float)",1,1,1
"null.check(int,int)",1,1,1
"null.check(long,long)",1,1,1
"null.check(short,short)",1,1,1
"null.compare(IEntity,IEntity)",1,1,1
"null.compare(IModifier<?>,IModifier<?>)",3,1,3
"null.compare(TextureAtlasSourceWithWithLocationCallback<?>,TextureAtlasSourceWithWithLocationCallback<?>)",2,2,2
"null.matches(int,int,int,int,int,int)",1,1,1
"null.onAllocatePoolItem()",1,1,1
"null.onHandleRecycleItem(IntLRUCacheQueueNode)",1,1,1
"null.onHandleRecycleItem(IntLRUCacheValueHolder<V>)",1,1,1
"null.onHandleRecycleItem(LRUCacheQueueNode<K>)",1,1,1
"null.onHandleRecycleItem(LRUCacheValueHolder<K, V>)",1,1,1
"null.swapAxis(float[])",1,1,1
"org.andengine.AndEngine.checkCodePathSupport()",2,2,3
"org.andengine.AndEngine.checkDeviceSupported()",1,1,1
"org.andengine.AndEngine.checkEGLConfigChooserSupport()",1,1,2
"org.andengine.AndEngine.checkOpenGLSupport()",1,1,1
"org.andengine.AndEngine.isDeviceSupported()",1,1,2
"org.andengine.audio.BaseAudioEntity.BaseAudioEntity(IAudioManager<? extends IAudioEntity>)",1,1,1
"org.andengine.audio.BaseAudioEntity.assertNotReleased()",1,2,2
"org.andengine.audio.BaseAudioEntity.getActualLeftVolume()",1,1,1
"org.andengine.audio.BaseAudioEntity.getActualRightVolume()",1,1,1
"org.andengine.audio.BaseAudioEntity.getAudioManager()",1,1,1
"org.andengine.audio.BaseAudioEntity.getLeftVolume()",1,1,1
"org.andengine.audio.BaseAudioEntity.getMasterVolume()",1,1,1
"org.andengine.audio.BaseAudioEntity.getRightVolume()",1,1,1
"org.andengine.audio.BaseAudioEntity.getVolume()",1,1,1
"org.andengine.audio.BaseAudioEntity.isReleased()",1,1,1
"org.andengine.audio.BaseAudioEntity.onMasterVolumeChanged(float)",1,1,1
"org.andengine.audio.BaseAudioEntity.pause()",1,1,1
"org.andengine.audio.BaseAudioEntity.play()",1,1,1
"org.andengine.audio.BaseAudioEntity.release()",1,1,1
"org.andengine.audio.BaseAudioEntity.resume()",1,1,1
"org.andengine.audio.BaseAudioEntity.setLooping(boolean)",1,1,1
"org.andengine.audio.BaseAudioEntity.setVolume(float)",1,1,1
"org.andengine.audio.BaseAudioEntity.setVolume(float,float)",1,1,1
"org.andengine.audio.BaseAudioEntity.stop()",1,1,1
"org.andengine.audio.BaseAudioManager.add(T)",1,1,1
"org.andengine.audio.BaseAudioManager.getMasterVolume()",1,1,1
"org.andengine.audio.BaseAudioManager.releaseAll()",1,2,2
"org.andengine.audio.BaseAudioManager.remove(T)",1,1,1
"org.andengine.audio.BaseAudioManager.setMasterVolume(float)",1,2,2
"org.andengine.audio.exception.AudioException.AudioException()",1,1,1
"org.andengine.audio.exception.AudioException.AudioException(String)",1,1,1
"org.andengine.audio.exception.AudioException.AudioException(String,Throwable)",1,1,1
"org.andengine.audio.exception.AudioException.AudioException(Throwable)",1,1,1
