Package,C(rec),LOC(rec),METH(rec)
"",742,53.301,5.291
"org",742,53.301,5.291
"org.andengine",742,53.301,5.291
"org.andengine.audio",17,1.034,112
"org.andengine.audio.exception",1,44,4
"org.andengine.audio.music",6,335,27
"org.andengine.audio.music.exception",2,75,4
"org.andengine.audio.sound",6,423,39
"org.andengine.audio.sound.exception",2,75,4
"org.andengine.engine",47,3.741,379
"org.andengine.engine.camera",13,1.357,160
"org.andengine.engine.camera.hud",8,404,30
"org.andengine.engine.camera.hud.controls",7,363,29
"org.andengine.engine.handler",12,583,56
"org.andengine.engine.handler.collision",2,95,5
"org.andengine.engine.handler.physics",1,129,20
"org.andengine.engine.handler.runnable",1,49,3
"org.andengine.engine.handler.timer",2,112,12
"org.andengine.engine.options",14,672,51
"org.andengine.engine.options.resolutionpolicy",6,246,11
"org.andengine.engine.splitscreen",2,253,26
"org.andengine.entity",199,15.686,1.779
"org.andengine.entity.modifier",45,2.432,262
"org.andengine.entity.particle",40,2.108,199
"org.andengine.entity.particle.emitter",9,416,35
"org.andengine.entity.particle.initializer",12,613,60
"org.andengine.entity.particle.modifier",10,537,53
"org.andengine.entity.primitive",12,859,75
"org.andengine.entity.primitive.vbo",8,354,22
"org.andengine.entity.scene",36,3.013,408
"org.andengine.entity.scene.background",16,746,74
"org.andengine.entity.scene.background.modifier",8,275,30
"org.andengine.entity.scene.menu",14,1.685,275
"org.andengine.entity.scene.menu.animator",5,388,38
"org.andengine.entity.scene.menu.item",7,1.121,216
"org.andengine.entity.scene.menu.item.decorator",3,777,163
"org.andengine.entity.shape",4,315,56
"org.andengine.entity.sprite",33,3.956,362
"org.andengine.entity.sprite.batch",6,1.279,114
"org.andengine.entity.sprite.batch.vbo",3,454,14
"org.andengine.entity.sprite.vbo",15,1.310,42
"org.andengine.entity.text",10,923,95
"org.andengine.entity.text.exception",2,87,8
"org.andengine.entity.text.vbo",3,293,8
"org.andengine.entity.util",9,470,37
"org.andengine.input",41,1.952,183
"org.andengine.input.sensor",16,601,57
"org.andengine.input.sensor.acceleration",8,170,18
"org.andengine.input.sensor.location",3,164,13
