,instance,smell_type
0,org.eclipse.jdt.internal.core.util.Util,Blob
1,org.eclipse.jdt.internal.core.JavaModelManager,Blob
2,org.eclipse.jdt.internal.compiler.lookup.ReferenceBinding,Blob
3,org.eclipse.jdt.internal.compiler.ast.ASTNode,Blob
4,org.eclipse.jdt.internal.compiler.ast.OperatorExpression,Blob
5,org.eclipse.jdt.internal.compiler.util.Util,Blob
6,org.eclipse.jdt.internal.compiler.classfmt.ClassFileReader,Blob
7,org.eclipse.jdt.internal.core.JavaModelOperation,Blob
8,org.eclipse.jdt.internal.formatter.Scribe,Blob
9,org.eclipse.jdt.core.dom.CompilationUnit,Blob
10,org.eclipse.jdt.internal.compiler.ast.CompilationUnitDeclaration,Blob
11,org.eclipse.jdt.internal.compiler.lookup.MethodBinding,Blob
12,org.eclipse.jdt.internal.core.CompilationUnit,Blob
13,org.eclipse.jdt.internal.codeassist.complete.CompletionParser,Blob
14,org.eclipse.jdt.internal.core.dom.rewrite.ImportRewriteAnalyzer,Blob
15,org.eclipse.jdt.core.JavaCore,Blob
16,org.eclipse.jdt.internal.core.JavaProject,Blob
17,org.eclipse.jdt.internal.compiler.parser.Parser,Blob
18,org.eclipse.jdt.internal.core.ClassFile,Blob
19,org.eclipse.jdt.core.dom.AST,Blob
20,org.eclipse.jdt.internal.codeassist.InternalCompletionProposal,Blob
21,org.eclipse.jdt.internal.core.jdom.DOMMethod,Blob
22,org.eclipse.jdt.internal.core.JavaElement,Blob
23,org.eclipse.jdt.internal.core.ClasspathEntry,Blob
24,org.eclipse.jdt.internal.compiler.impl.CompilerOptions,Blob
25,org.eclipse.jdt.internal.core.builder.State,Blob
26,org.eclipse.jdt.internal.codeassist.SelectionEngine,Blob
27,org.eclipse.jdt.internal.compiler.ast.Expression,Blob
28,org.eclipse.jdt.internal.compiler.flow.FlowContext,Blob
29,org.eclipse.jdt.internal.compiler.flow.LoopingFlowContext,Blob
30,org.eclipse.jdt.internal.core.search.matching.MatchLocator,Blob
31,org.eclipse.jdt.internal.compiler.ast.TypeDeclaration,Blob
32,org.eclipse.jdt.internal.codeassist.impl.AssistParser,Blob
33,org.eclipse.jdt.core.dom.MethodDeclaration,Blob
34,org.eclipse.jdt.internal.codeassist.select.SelectionParser,Blob
35,org.eclipse.jdt.internal.core.SourceMapper,Blob
36,org.eclipse.jdt.internal.codeassist.CompletionEngine,Blob
37,org.eclipse.jdt.internal.compiler.DocumentElementParser,Blob
38,org.eclipse.jdt.internal.compiler.parser.AbstractCommentParser,Blob
39,org.eclipse.jdt.internal.core.jdom.DOMNode,Blob
40,org.eclipse.jdt.internal.core.DeltaProcessor,Blob
41,org.eclipse.jdt.core.dom.CompilationUnitResolver,Blob
42,org.eclipse.jdt.internal.compiler.ast.QualifiedNameReference,Blob
