,instance,smell_type
0,org.apache.hadoop.hive.ql.exec.MapRedTask,LongMethod
1,org.apache.hadoop.hive.ql.exec.ExecDriver,LongMethod
2,org.apache.hadoop.hive.cli.CliDriver,LongMethod
3,org.apache.hadoop.hive.ql.exec.DDLTask,LongMethod
4,org.apache.hadoop.hive.ql.exec.MapredLocalTask,LongMethod
5,org.apache.hadoop.hive.ql.exec.HadoopJobExecHelper,LongMethod
6,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
7,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
8,org.apache.hadoop.hive.ql.exec.ExecDriver,LongMethod
9,org.apache.hadoop.hive.ql.exec.MoveTask,LongMethod
10,org.apache.hadoop.hive.ql.Driver,LongMethod
11,org.apache.hadoop.hive.ql.io.rcfile.merge.BlockMergeTask,LongMethod
12,org.apache.hadoop.hive.hbase.HiveHBaseTableInputFormat,LongMethod
13,org.apache.hadoop.hive.ql.exec.Utilities,LongMethod
14,org.apache.hadoop.hive.ql.Driver,LongMethod
15,org.apache.hadoop.hive.ql.parse.LoadSemanticAnalyzer,LongMethod
16,org.apache.hadoop.hive.ql.exec.ScriptOperator,LongMethod
17,org.apache.hadoop.hive.ql.metadata.Hive,LongMethod
18,org.apache.hadoop.hive.ql.exec.DDLTask,LongMethod
19,org.apache.hadoop.hive.cli.CliDriver,LongMethod
20,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
21,org.apache.hadoop.hive.ql.io.rcfile.merge.BlockMergeTask,LongMethod
22,org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer,LongMethod
23,org.apache.hadoop.hive.hbase.HiveHFileOutputFormat,LongMethod
24,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
25,org.apache.hadoop.hive.ql.exec.ExecReducer,LongMethod
26,org.apache.hadoop.hive.ql.exec.HadoopJobExecHelper,LongMethod
27,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
28,org.apache.hadoop.hive.ql.optimizer.ColumnPrunerProcFactory,LongMethod
29,org.apache.hadoop.hive.ant.QTestGenTask,LongMethod
30,org.apache.hadoop.hive.hwi.HWISessionItem,LongMethod
31,org.apache.hadoop.hive.metastore.api.Table,LongMethod
32,org.apache.hadoop.hive.ql.exec.DDLTask,LongMethod
33,org.apache.hadoop.hive.ql.exec.GroupByOperator,LongMethod
34,org.apache.hadoop.hive.ql.exec.ReduceSinkOperator,LongMethod
35,org.apache.hadoop.hive.metastore.TestHiveMetaStore,LongMethod
36,org.apache.hadoop.hive.metastore.api.Table,LongMethod
37,org.apache.hadoop.hive.ql.exec.DDLTask,LongMethod
38,org.apache.hadoop.hive.serde2.dynamic_type.thrift_grammarTokenManager,LongMethod
39,org.apache.hadoop.hive.serde2.binarysortable.BinarySortableSerDe,LongMethod
40,org.apache.hadoop.hive.metastore.TestHiveMetaStore,LongMethod
41,org.apache.hadoop.hive.ql.exec.CommonJoinOperator,LongMethod
42,org.apache.hadoop.hive.ql.metadata.formatting.TextMetaDataFormatter,LongMethod
43,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
44,org.apache.hadoop.hive.metastore.api.StorageDescriptor,LongMethod
45,org.apache.hadoop.hive.ql.exec.DDLTask,LongMethod
46,org.apache.hadoop.hive.serde2.lazybinary.LazyBinarySerDe,LongMethod
47,org.apache.hadoop.hive.ql.parse.ImportSemanticAnalyzer,LongMethod
48,org.apache.hadoop.hive.metastore.TestHiveMetaStore,LongMethod
49,org.apache.hadoop.hive.metastore.api.StorageDescriptor,LongMethod
50,org.apache.hadoop.hive.ql.parse.DDLSemanticAnalyzer,LongMethod
51,org.apache.hadoop.hive.metastore.api.Index,LongMethod
52,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,LongMethod
