,instance,smell_type
0,org.apache.tools.bzip2r.CBZip2OutputStream,LongMethod
1,org.apache.pig.Main,LongMethod
2,org.apache.pig.impl.util.LogUtils,LongMethod
3,org.apache.tools.bzip2r.CBZip2OutputStream,LongMethod
4,org.apache.pig.impl.util.SpillableMemoryManager,LongMethod
5,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POForEach,LongMethod
6,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.JobControlCompiler,LongMethod
7,org.apache.pig.pen.LocalLogToPhyTranslationVisitor,LongMethod
8,org.apache.tools.bzip2r.CBZip2InputStream,LongMethod
9,org.apache.hadoop.zebra.tfile.TFileDumper,LongMethod
10,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler,LongMethod
11,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MapReduceLauncher,LongMethod
12,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.SampleOptimizer,LongMethod
13,org.apache.pig.newplan.logical.rules.ColumnPruneVisitor,LongMethod
14,org.apache.pig.test.TestBuiltin,LongMethod
15,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler,LongMethod
16,org.apache.pig.impl.logicalLayer.optimizer.PushDownForeachFlatten,LongMethod
17,org.apache.hadoop.zebra.mapred.ToolTestComparator,LongMethod
18,org.apache.pig.impl.plan.optimizer.RuleMatcher,LongMethod
19,org.apache.hadoop.zebra.mapreduce.ToolTestComparator,LongMethod
20,org.apache.pig.impl.logicalLayer.validators.TypeCheckingVisitor,LongMethod
21,org.apache.tools.bzip2r.CBZip2OutputStream,LongMethod
22,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MultiQueryOptimizer,LongMethod
23,org.apache.hadoop.zebra.types.Partition,LongMethod
24,org.apache.pig.impl.logicalLayer.optimizer.PushUpFilter,LongMethod
25,org.apache.hadoop.zebra.types.TestStorageGrammar,LongMethod
26,org.apache.pig.backend.hadoop.executionengine.physicalLayer.relationalOperators.POJoinPackage,LongMethod
27,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompiler,LongMethod
28,org.apache.pig.newplan.logical.relational.LogToPhyTranslationVisitor,LongMethod
29,org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.Launcher,LongMethod
30,org.apache.pig.test.TestTypeCheckingValidator,LongMethod
31,org.apache.pig.impl.util.StorageUtil,LongMethod
32,org.apache.pig.piggybank.storage.HadoopJobHistoryLoader,LongMethod
