,instance,smell_type
0,org.hsqldb.Session,Blob
1,org.hsqldb.cmdline.SqlFile,Blob
2,org.hsqldb.util.DatabaseManagerSwing,Blob
3,org.hsqldb.Routine,Blob
4,org.hsqldb.persist.Logger,Blob
5,org.hsqldb.Table,Blob
6,org.hsqldb.Database,Blob
7,org.hsqldb.cmdline.sqltool.SqlFileScanner,Blob
8,org.hsqldb.Expression,Blob
9,org.hsqldb.StatementCompound,Blob
10,org.hsqldb.StatementDMQL,Blob
11,org.hsqldb.util.DatabaseManager,Blob
12,org.hsqldb.QueryExpression,Blob
13,org.hsqldb.index.IndexAVL,Blob
14,org.hsqldb.lib.StringConverter,Blob
15,org.hsqldb.test.JDBCBench,Blob
16,org.hsqldb.test.TestBench,Blob
17,org.hsqldb.util.Transfer,Blob
18,org.hsqldb.lib.ArrayUtil,Blob
19,org.hsqldb.QuerySpecification,Blob
20,org.hsqldb.rights.Grantee,Blob
21,org.hsqldb.server.Server,Blob
22,org.hsqldb.jdbc.JDBCSQLXML,Blob
