,instance,smell_type
0,org.apache.qpid.server.transport.ServerSession,Blob
1,org.apache.qpid.server.protocol.AMQProtocolEngine,Blob
2,org.apache.qpid.server.AMQChannel,Blob
3,org.apache.qpid.server.queue.SimpleAMQQueue,Blob
4,org.apache.qpid.transport.Session,Blob
5,org.apache.qpid.client.AMQConnection,Blob
6,org.apache.qpid.server.subscription.Subscription_0_10,Blob
7,org.apache.qpid.client.BasicMessageConsumer,Blob
8,org.apache.qpid.server.configuration.ServerConfiguration,Blob
9,org.apache.qpid.client.AMQSession,Blob
10,org.apache.qpid.amqp_1_0.transport.ConnectionEndpoint,Blob
11,org.apache.qpid.client.AMQDestination,Blob
12,org.apache.qpid.server.model.adapter.VirtualHostAdapter,Blob
13,org.apache.qpid.client.AMQSession_0_10,Blob
14,org.apache.qpid.client.protocol.AMQProtocolHandler,Blob
15,org.apache.qpid.test.utils.QpidBrokerTestCase,Blob
16,org.apache.qpid.server.store.berkeleydb.AbstractBDBMessageStore,Blob
17,org.apache.log4j.QpidCompositeRollingAppender,Blob
18,org.apache.qpid.amqp_1_0.jms.impl.SessionImpl,Blob
19,org.apache.qpid.server.store.derby.DerbyMessageStore,Blob
20,org.apache.qpid.amqp_1_0.jms.impl.MessageImpl,Blob
21,org.apache.qpid.management.ui.views.ViewUtility,Blob
22,org.apache.qpid.management.ui.views.queue.QueueOperationsTabControl,Blob
23,org.apache.qpid.client.message.AMQMessageDelegate_0_10,Blob
24,org.apache.qpid.framing.AMQShortString,Blob
25,org.apache.qpid.test.unit.basic.MapMessageTest,Blob
26,org.apache.qpid.management.ui.views.users.UserManagementTabControl,Blob
27,org.apache.qpid.management.ui.views.NavigationView,Blob
28,org.apache.qpid.client.failover.FailoverBehaviourTest,Blob
