,instance,smell_type
0,org.hsqldb.server.ServerConnection,FeatureEnvy
1,org.hsqldb.StatementSchema,FeatureEnvy
2,org.hsqldb.FunctionCustom,FeatureEnvy
3,org.hsqldb.StatementCommand,FeatureEnvy
4,org.hsqldb.cmdline.SqlFile,FeatureEnvy
5,org.hsqldb.FunctionSQL,FeatureEnvy
6,org.hsqldb.cmdline.SqlFile,FeatureEnvy
7,org.hsqldb.FunctionSQL,FeatureEnvy
8,org.hsqldb.cmdline.SqlTool,FeatureEnvy
9,org.hsqldb.Scanner,FeatureEnvy
10,org.hsqldb.cmdline.SqlFile,FeatureEnvy
11,org.hsqldb.ParserDQL,FeatureEnvy
12,org.hsqldb.StatementSession,FeatureEnvy
13,org.hsqldb.util.TransferDb,FeatureEnvy
