,instance,smell_type
0,org.apache.hadoop.hive.ql.exec.Utilities,Blob
1,org.apache.hadoop.hive.ql.exec.Operator,Blob
2,org.apache.hadoop.hive.ql.session.SessionState,Blob
3,org.apache.hadoop.hive.ql.Driver,Blob
4,org.apache.hadoop.hive.ql.parse.BaseSemanticAnalyzer,Blob
5,org.apache.hadoop.hive.cli.CliDriver,Blob
6,org.apache.hadoop.hive.metastore.MetaStoreUtils,Blob
7,org.apache.hadoop.hive.ql.metadata.Table,Blob
8,org.apache.hadoop.hive.metastore.api.Table,Blob
9,org.apache.hadoop.hive.ql.QueryPlan,Blob
10,org.apache.hadoop.hive.ql.parse.SemanticAnalyzer,Blob
11,org.apache.hadoop.hive.serde2.thrift.TCTLSeparatedProtocol,Blob
12,org.apache.hadoop.hive.ql.exec.ExecDriver,Blob
13,org.apache.hadoop.hive.metastore.api.Partition,Blob
14,org.apache.hadoop.hive.metastore.api.StorageDescriptor,Blob
15,org.apache.hadoop.hive.ql.exec.DDLTask,Blob
16,org.apache.hadoop.hive.serde2.thrift.test.Complex,Blob
17,org.apache.hadoop.hive.metastore.api.Index,Blob
18,org.apache.hadoop.hive.metastore.ObjectStore,Blob
19,org.apache.hadoop.hive.ql.plan.api.Task,Blob
20,org.apache.hadoop.hive.ql.plan.api.Query,Blob
21,org.apache.hadoop.hive.ql.plan.api.Stage,Blob
22,org.apache.hadoop.hive.cli.CliDriver,Blob
23,org.apache.hadoop.hive.metastore.MetaStoreUtils,Blob
24,org.apache.hadoop.hive.ql.metadata.Table,Blob
25,org.apache.hadoop.hive.ql.QueryPlan,Blob
26,org.apache.hadoop.hive.serde2.thrift.TCTLSeparatedProtocol,Blob
