,instance,smell_type
0,org.apache.qpid.server.subscription.Subscription_0_10,FeatureEnvy
1,org.apache.qpid.util.CommandLineParser,FeatureEnvy
2,org.apache.qpid.server.protocol.v1_0.SendingLink_1_0,FeatureEnvy
3,org.apache.qpid.server.protocol.v1_0.Session_1_0,FeatureEnvy
4,org.apache.qpid.client.AMQConnection,FeatureEnvy
5,org.apache.qpid.server.Broker,FeatureEnvy
6,org.apache.qpid.jca.example.web.QpidRequestResponseServlet,FeatureEnvy
7,org.apache.qpid.transport.Session,FeatureEnvy
8,org.apache.qpid.gentools.AmqpFieldMap,FeatureEnvy
9,org.apache.qpid.server.transport.ServerSessionDelegate,FeatureEnvy
10,org.apache.log4j.QpidCompositeRollingAppender,FeatureEnvy
11,org.apache.qpid.client.AMQBrokerDetails,FeatureEnvy
12,org.apache.qpid.server.exchange.topic.TopicParser,FeatureEnvy
13,org.apache.qpid.server.protocol.v1_0.ReceivingLink_1_0,FeatureEnvy
14,org.apache.qpid.server.queue.AMQQueueFactory,FeatureEnvy
