,instance,smell_type
0,org.apache.karaf.jpm.ProcessTest,FeatureEnvy
1,org.apache.karaf.admin.command.CreateCommandTest,FeatureEnvy
2,org.apache.karaf.shell.commands.info.PojoInfoProvider,FeatureEnvy
3,org.apache.karaf.features.FeatureTest,FeatureEnvy
4,org.apache.karaf.shell.dev.util.IO,FeatureEnvy
5,org.apache.karaf.jaas.modules.osgi.ConfigAdminHolder,FeatureEnvy
6,org.apache.karaf.tooling.exam.options.LogLevelOption,FeatureEnvy
7,org.apache.karaf.jaas.config.KeystoreManager,FeatureEnvy
8,org.apache.karaf.admin.management.codec.JmxInstanceTest,FeatureEnvy
9,org.apache.karaf.jaas.config.KeystoreManager,FeatureEnvy
10,org.apache.karaf.jaas.config.KeystoreManager,FeatureEnvy
11,org.apache.karaf.features.internal.BundleInfoImpl,FeatureEnvy
12,org.apache.karaf.features.obr.internal.BundleInfoImpl,FeatureEnvy
