,instance,smell_type
0,org.apache.lucene.analysis.ja.util.ToStringUtil,FeatureEnvy
1,org.tartarus.snowball.ext.TurkishStemmer,FeatureEnvy
2,org.apache.lucene.analysis.charfilter.HTMLStripCharFilter,FeatureEnvy
3,org.tartarus.snowball.ext.FrenchStemmer,FeatureEnvy
4,org.apache.lucene.queryParser.QueryParserTokenManager,FeatureEnvy
5,org.apache.lucene.analysis.br.BrazilianStemmer,FeatureEnvy
6,org.tartarus.snowball.ext.TurkishStemmer,FeatureEnvy
7,org.apache.lucene.queryParser.surround.parser.QueryParserTokenManager,FeatureEnvy
8,org.apache.lucene.util.fst.FST,FeatureEnvy
9,org.apache.lucene.index.CheckIndex,FeatureEnvy
10,org.tartarus.snowball.ext.KpStemmer,FeatureEnvy
11,org.tartarus.snowball.ext.LovinsStemmer,FeatureEnvy
12,org.tartarus.snowball.ext.PorterStemmer,FeatureEnvy
13,org.tartarus.snowball.ext.DutchStemmer,FeatureEnvy
14,org.tartarus.snowball.ext.KpStemmer,FeatureEnvy
15,org.apache.solr.search.ExtendedDismaxQParserPlugin,FeatureEnvy
16,org.apache.solr.core.SolrCore,FeatureEnvy
17,org.apache.lucene.facet.search.TopKInEachNodeHandler,FeatureEnvy
18,org.apache.solr.schema.IndexSchema,FeatureEnvy
19,org.apache.lucene.queryParser.standard.parser.StandardSyntaxParserTokenManager,FeatureEnvy
20,org.apache.lucene.benchmark.byTask.feeds.demohtml.HTMLParserTokenManager,FeatureEnvy
21,org.apache.lucene.analysis.wikipedia.WikipediaTokenizerImpl,FeatureEnvy
22,org.tartarus.snowball.ext.TurkishStemmer,FeatureEnvy
23,org.tartarus.snowball.ext.KpStemmer,FeatureEnvy
24,org.tartarus.snowball.ext.SpanishStemmer,FeatureEnvy
25,org.tartarus.snowball.ext.TurkishStemmer,FeatureEnvy
