,instance,smell_type
0,org.apache.ivy.core.settings.IvySettings,Blob
1,org.apache.ivy.core.module.descriptor.DefaultModuleDescriptor,Blob
2,org.apache.ivy.plugins.resolver.BasicResolver,Blob
3,org.apache.ivy.plugins.repository.vsftp.VsftpRepository,Blob
4,org.apache.ivy.core.cache.DefaultRepositoryCacheManager,Blob
5,org.apache.ivy.core.module.descriptor.DefaultDependencyDescriptor,Blob
6,org.apache.ivy.Ivy,Blob
7,org.apache.ivy.core.resolve.IvyNode,Blob
8,org.apache.ivy.plugins.parser.xml.XmlModuleDescriptorParser,Blob
9,org.apache.ivy.core.resolve.ResolveTest,Blob
