,instance,smell_type
0,org.gjt.sp.jedit.jEdit,FeatureEnvy
1,org.gjt.sp.jedit.bsh.org.objectweb.asm.CodeWriter,FeatureEnvy
2,org.gjt.sp.jedit.gui.ExtendedGridLayout,FeatureEnvy
3,org.gjt.sp.jedit.textarea.ElasticTabStopBufferListener,FeatureEnvy
4,org.gjt.sp.jedit.syntax.XModeHandler,FeatureEnvy
5,org.gjt.sp.jedit.gui.DockableLayout,FeatureEnvy
6,org.gjt.sp.jedit.browser.VFSBrowser,FeatureEnvy
7,org.gjt.sp.jedit.bsh.Name,FeatureEnvy
8,org.gjt.sp.jedit.syntax.TokenMarker,FeatureEnvy
9,org.gjt.sp.jedit.gui.ExtendedGridLayout,FeatureEnvy
