,instance,smell_type
0,org.apache.commons.lang.enum.Extended3Enum,ParallelInheritance
1,org.apache.commons.lang.enum.Extended3Enum,ParallelInheritance
2,org.apache.commons.lang.enum.Extended2Enum,ParallelInheritance
3,org.apache.commons.lang.enum.Broken2OperationEnum,ParallelInheritance
4,org.apache.commons.lang.enum.Broken2OperationEnum,ParallelInheritance
5,org.apache.commons.lang.enum.Broken2OperationEnum,ParallelInheritance
6,org.apache.commons.lang.enum.Broken2OperationEnum,ParallelInheritance
7,org.apache.commons.lang.enum.Broken5OperationEnum,ParallelInheritance
8,org.apache.commons.lang.enum.Broken5OperationEnum,ParallelInheritance
9,org.apache.commons.lang.enum.Broken5OperationEnum,ParallelInheritance
10,org.apache.commons.lang.enum.Broken1OperationEnum,ParallelInheritance
11,org.apache.commons.lang.enum.Broken1OperationEnum,ParallelInheritance
12,org.apache.commons.lang.enum.Broken4OperationEnum,ParallelInheritance
13,org.apache.commons.lang.enum.Extended2Enum,ParallelInheritance
14,org.apache.commons.lang.enum.Extended1Enum,ParallelInheritance
15,org.apache.commons.lang.enum.Extended1Enum,ParallelInheritance
16,org.apache.commons.lang.enum.Broken5OperationEnum,ParallelInheritance
17,org.apache.commons.lang.enum.Broken1OperationEnum,ParallelInheritance
18,org.apache.commons.lang.enum.Broken4OperationEnum,ParallelInheritance
19,org.apache.commons.lang.enum.Broken3OperationEnum,ParallelInheritance
20,org.apache.commons.lang.enum.Broken1OperationEnum,ParallelInheritance
21,org.apache.commons.lang.enum.Broken4OperationEnum,ParallelInheritance
22,org.apache.commons.lang.enum.Broken3OperationEnum,ParallelInheritance
23,org.apache.commons.lang.enum.Broken4OperationEnum,ParallelInheritance
24,org.apache.commons.lang.enum.Broken3OperationEnum,ParallelInheritance
25,org.apache.commons.lang.enum.Broken3OperationEnum,ParallelInheritance
