,instance,smell_type
0,org.apache.cassandra.db.ColumnFamilyStore,Blob
1,org.apache.cassandra.service.StorageService,Blob
2,org.apache.cassandra.hadoop.pig.CassandraStorage,Blob
3,org.apache.cassandra.service.StorageProxy,Blob
4,org.apache.cassandra.io.sstable.SSTableReader,Blob
5,org.apache.cassandra.thrift.CfDef,Blob
6,org.apache.cassandra.config.CFMetaData,Blob
7,org.apache.cassandra.cql3.statements.SelectStatement,Blob
8,org.apache.cassandra.thrift.CassandraServer,Blob
9,org.apache.cassandra.config.CFMetaData,Blob
10,org.apache.cassandra.cql3.statements.SelectStatement,Blob
11,org.apache.cassandra.thrift.CassandraServer,Blob
12,org.apache.cassandra.cli.CliClient,Blob
13,org.apache.cassandra.thrift.TokenRange,Blob
14,org.apache.cassandra.db.compaction.CompactionManager,Blob
15,org.apache.cassandra.thrift.KeyRange,Blob
16,org.apache.cassandra.thrift.Column,Blob
17,org.apache.cassandra.thrift.CqlPreparedResult,Blob
18,org.apache.cassandra.gms.Gossiper,Blob
19,org.apache.cassandra.thrift.ColumnDef,Blob
20,org.apache.cassandra.db.CollationController,Blob
21,org.apache.cassandra.db.compaction.Scrubber,Blob
