,instance,smell_type
0,org.hsqldb.util.Transfer,LongMethod
1,org.hsqldb.auth.LdapAuthBean,LongMethod
2,org.hsqldb.util.DatabaseManager,LongMethod
3,org.hsqldb.cmdline.SqlFile,LongMethod
4,org.hsqldb.util.DatabaseManagerSwing,LongMethod
5,org.hsqldb.util.DatabaseManagerSwing,LongMethod
6,org.hsqldb.auth.LdapAuthBean,LongMethod
7,org.hsqldb.server.ServerConnection,LongMethod
8,org.hsqldb.cmdline.SqlFile,LongMethod
9,org.hsqldb.util.Transfer,LongMethod
10,org.hsqldb.DatabaseURL,LongMethod
11,org.hsqldb.util.TransferDb,LongMethod
12,org.hsqldb.ParserDML,LongMethod
13,org.hsqldb.ParserDQL,LongMethod
14,org.hsqldb.Routine,LongMethod
15,org.hsqldb.jdbc.JDBCDriver,LongMethod
16,org.hsqldb.jdbc.JDBCClobClient,LongMethod
17,org.hsqldb.lib.RCData,LongMethod
18,org.hsqldb.persist.ScriptRunner,LongMethod
19,org.hsqldb.server.ServerConnection,LongMethod
20,org.hsqldb.util.ConnectionDialog,LongMethod
21,org.hsqldb.persist.Logger,LongMethod
22,org.hsqldb.util.DatabaseManager,LongMethod
23,org.hsqldb.jdbc.JDBCClobClient,LongMethod
24,org.hsqldb.ParserCommand,LongMethod
25,org.hsqldb.util.DatabaseManagerSwing,LongMethod
26,org.hsqldb.test.JDBCBench,LongMethod
27,org.hsqldb.cmdline.SqlTool,LongMethod
28,org.hsqldb.ParserDQL,LongMethod
29,org.hsqldb.persist.DataFileDefrag,LongMethod
30,org.hsqldb.test.TestBench,LongMethod
31,org.hsqldb.Routine,LongMethod
32,org.hsqldb.RoutineSchema,LongMethod
33,org.hsqldb.Like,LongMethod
34,org.hsqldb.RangeVariableResolver,LongMethod
35,org.hsqldb.test.JDBCBench,LongMethod
36,org.hsqldb.QuerySpecification,LongMethod
37,org.hsqldb.StatementSchema,LongMethod
38,org.hsqldb.QuerySpecification,LongMethod
39,org.hsqldb.Session,LongMethod
40,org.hsqldb.FunctionCustom,LongMethod
41,org.hsqldb.types.NumberType,LongMethod
42,org.hsqldb.test.TestScriptRunner,LongMethod
43,org.hsqldb.Table,LongMethod
44,org.hsqldb.test.TestSqlPersistent,LongMethod
45,org.hsqldb.util.TransferSQLText,LongMethod
46,org.hsqldb.ExpressionOp,LongMethod
47,org.hsqldb.TableWorks,LongMethod
48,org.hsqldb.ParserDQL,LongMethod
49,org.hsqldb.test.TestDataStructures,LongMethod
50,org.hsqldb.index.IndexAVLMemory,LongMethod
51,org.hsqldb.test.TestSql,LongMethod
52,org.hsqldb.persist.Logger,LongMethod
53,org.hsqldb.server.ServerAcl,LongMethod
54,org.hsqldb.ParserDQL,LongMethod
55,org.hsqldb.Expression,LongMethod
56,org.hsqldb.ParserDQL,LongMethod
57,org.hsqldb.ParserRoutine,LongMethod
58,org.hsqldb.StatementDML,LongMethod
59,org.hsqldb.util.DatabaseManager,LongMethod
60,org.hsqldb.SchemaManager,LongMethod
61,org.hsqldb.FunctionSQL,LongMethod
62,org.hsqldb.ExpressionLogical,LongMethod
63,org.hsqldb.cmdline.sqltool.SqlFileScanner,LongMethod
64,org.hsqldb.jdbc.JDBCPreparedStatement,LongMethod
65,org.hsqldb.ExpressionLike,LongMethod
66,org.hsqldb.ParserDDL,LongMethod
67,org.hsqldb.SchemaManager,LongMethod
68,org.hsqldb.ParserDQL,LongMethod
69,org.hsqldb.QuerySpecification,LongMethod
70,org.hsqldb.ParserCommand,LongMethod
71,org.hsqldb.store.BaseHashMap,LongMethod
72,org.hsqldb.SchemaManager,LongMethod
73,org.hsqldb.StatementDML,LongMethod
74,org.hsqldb.ParserRoutine,LongMethod
