,instance,smell_type
0,org.apache.solr.SolrTestCaseJ4,Blob
1,org.apache.lucene.index.DocumentsWriter,Blob
2,org.apache.solr.core.SolrCore,Blob
3,org.apache.solr.handler.ReplicationHandler,Blob
4,org.apache.lucene.queryParser.QueryParser,Blob
5,org.apache.solr.handler.dataimport.DocBuilder,Blob
6,org.apache.solr.handler.SnapPuller,Blob
7,org.apache.solr.client.solrj.impl.CommonsHttpSolrServer,Blob
8,org.apache.lucene.index.IndexWriter,Blob
9,org.apache.lucene.index.SegmentReader,Blob
10,org.apache.lucene.index.memory.MemoryIndex,Blob
11,org.apache.noggit.JSONParser,Blob
12,org.apache.lucene.index.IndexWriterConfig,Blob
13,org.apache.solr.search.Grouping,Blob
14,org.apache.solr.search.SolrIndexSearcher,Blob
15,org.apache.solr.util.SolrPluginUtils,Blob
16,org.apache.lucene.index.SegmentInfos,Blob
17,org.apache.lucene.search.similar.MoreLikeThis,Blob
18,org.apache.lucene.index.TieredMergePolicy,Blob
19,org.apache.solr.core.CoreContainer,Blob
20,org.apache.lucene.search.Similarity,Blob
21,org.apache.solr.client.solrj.SolrQuery,Blob
22,org.tartarus.snowball.ext.TurkishStemmer,Blob
23,org.apache.lucene.index.SegmentInfos,Blob
24,org.apache.solr.schema.IndexSchema,Blob
25,org.apache.lucene.queryParser.QueryParserTokenManager,Blob
26,org.apache.lucene.analysis.br.BrazilianStemmer,Blob
