,instance,smell_type
0,org.apache.karaf.features.internal.RepositoryImpl,LongMethod
1,org.apache.karaf.shell.ssh.SshAction,LongMethod
2,org.apache.karaf.tooling.features.AddFeaturesToRepoMojo,LongMethod
3,org.apache.karaf.features.internal.FeaturesServiceImpl,LongMethod
4,org.apache.karaf.features.obr.internal.ObrResolver,LongMethod
5,org.apache.karaf.shell.commands.GrepAction,LongMethod
6,org.apache.karaf.jaas.modules.ldap.LDAPLoginModule,LongMethod
7,org.apache.karaf.shell.console.completer.ArgumentCompleter,LongMethod
8,org.apache.karaf.tooling.cmdhelp.CmdHelpMojo,LongMethod
9,org.apache.karaf.shell.osgi.ListBundles,LongMethod
10,org.apache.felix.gogo.commands.basic.DefaultActionPreparator,LongMethod
11,org.apache.karaf.features.command.ListFeaturesCommand,LongMethod
12,org.apache.karaf.webconsole.gogo.Terminal,LongMethod
13,org.apache.karaf.deployer.features.FeatureDeploymentListener,LongMethod
14,org.apache.karaf.shell.console.completer.ArgumentCompleter,LongMethod
15,org.apache.karaf.shell.commands.NewAction,LongMethod
16,org.apache.felix.gogo.commands.basic.DefaultActionPreparator,LongMethod
17,org.apache.karaf.shell.osgi.Headers,LongMethod
18,org.apache.karaf.jaas.command.ManageRealmCommand,LongMethod
19,org.apache.karaf.features.internal.RepositoryImpl,LongMethod
