,instance,smell_type
0,org.apache.tomcat.util.http.fileupload.FileItemHeadersSupport,ParallelInheritance
1,javax.management.Notification,ParallelInheritance
2,FileUploadBase,ParallelInheritance
3,org.apache.catalina.manager.host.HostManagerServlet,ParallelInheritance
4,org.apache.catalina.manager.ManagerServlet,ParallelInheritance
5,org.apache.tomcat.util.modeler.BaseModelMBean,ParallelInheritance
6,Task,ParallelInheritance
7,BaseParamFilterReader,ParallelInheritance
8,MatchingTask,ParallelInheritance
9,org.apache.tomcat.util.http.fileupload.FileUpload,ParallelInheritance
10,org.apache.tomcat.util.modeler.modules.ModelerSource,ParallelInheritance
11,javax.servlet.http.HttpServlet,ParallelInheritance
12,org.apache.tomcat.util.http.fileupload.ThresholdingOutputStream,ParallelInheritance
13,org.apache.tomcat.util.http.fileupload.FileUploadException,ParallelInheritance
14,org.apache.tomcat.util.modeler.modules.ModelerSource,ParallelInheritance
15,org.apache.tools.ant.taskdefs.optional.JXPathSet,ParallelInheritance
16,org.apache.tools.ant.filters.StripLineBreaks,ParallelInheritance
17,org.apache.tools.ant.taskdefs.FixCRLF,ParallelInheritance
