Complexity metrics,Qua, 25 out 2017 18:00:00 BRST
Method,ev(G),iv(G),v(G)
"org.apache.commons.codec.DecoderException.DecoderException()",1,1,1
"org.apache.commons.codec.DecoderException.DecoderException(String)",1,1,1
"org.apache.commons.codec.DecoderException.DecoderException(String,Throwable)",1,1,1
"org.apache.commons.codec.DecoderException.DecoderException(Throwable)",1,1,1
"org.apache.commons.codec.EncoderException.EncoderException()",1,1,1
"org.apache.commons.codec.EncoderException.EncoderException(String)",1,1,1
"org.apache.commons.codec.EncoderException.EncoderException(String,Throwable)",1,1,1
"org.apache.commons.codec.EncoderException.EncoderException(Throwable)",1,1,1
"org.apache.commons.codec.StringEncoderComparator.StringEncoderComparator(StringEncoder)",1,1,1
"org.apache.commons.codec.StringEncoderComparator.compare(Object,Object)",1,1,2
"org.apache.commons.codec.binary.Base32.Base32()",1,1,1
"org.apache.commons.codec.binary.Base32.Base32(boolean)",1,1,1
"org.apache.commons.codec.binary.Base32.Base32(int)",1,1,1
"org.apache.commons.codec.binary.Base32.Base32(int,byte[])",1,1,1
"org.apache.commons.codec.binary.Base32.Base32(int,byte[],boolean)",4,3,6
"org.apache.commons.codec.binary.Base32.decode(byte[],int,int)",5,5,17
"org.apache.commons.codec.binary.Base32.encode(byte[],int,int)",5,7,16
"org.apache.commons.codec.binary.Base32.isInAlphabet(byte)",1,1,3
"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream(InputStream)",1,1,1
"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream(InputStream,boolean)",1,1,1
"org.apache.commons.codec.binary.Base32InputStream.Base32InputStream(InputStream,boolean,int,byte[])",1,1,1
"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream(OutputStream)",1,1,1
"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream(OutputStream,boolean)",1,1,1
"org.apache.commons.codec.binary.Base32OutputStream.Base32OutputStream(OutputStream,boolean,int,byte[])",1,1,1
"org.apache.commons.codec.binary.Base64.Base64()",1,1,1
"org.apache.commons.codec.binary.Base64.Base64(boolean)",1,1,1
"org.apache.commons.codec.binary.Base64.Base64(int)",1,1,1
"org.apache.commons.codec.binary.Base64.Base64(int,byte[])",1,1,1
"org.apache.commons.codec.binary.Base64.Base64(int,byte[],boolean)",3,4,6
"org.apache.commons.codec.binary.Base64.decode(byte[],int,int)",5,4,13
"org.apache.commons.codec.binary.Base64.decodeBase64(String)",1,1,1
"org.apache.commons.codec.binary.Base64.decodeBase64(byte[])",1,1,1
"org.apache.commons.codec.binary.Base64.decodeInteger(byte[])",1,1,1
"org.apache.commons.codec.binary.Base64.encode(byte[],int,int)",5,7,16
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[])",1,1,1
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean)",1,1,1
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean,boolean)",1,1,1
"org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean,boolean,int)",3,1,5
