Complexity metrics,Qui, 26 out 2017 11:37:00 BRST
Method,ev(G),iv(G),v(G)
"org.apache.commons.io.ByteOrderMark.ByteOrderMark(String,int...)",3,2,5
"org.apache.commons.io.ByteOrderMark.equals(Object)",5,2,5
"org.apache.commons.io.ByteOrderMark.get(int)",1,1,1
"org.apache.commons.io.ByteOrderMark.getBytes()",1,1,2
"org.apache.commons.io.ByteOrderMark.getCharsetName()",1,1,1
"org.apache.commons.io.ByteOrderMark.hashCode()",1,1,2
"org.apache.commons.io.ByteOrderMark.length()",1,1,1
"org.apache.commons.io.ByteOrderMark.toString()",1,3,3
"org.apache.commons.io.CopyUtils.CopyUtils()",1,1,1
"org.apache.commons.io.CopyUtils.copy(InputStream,OutputStream)",1,2,2
"org.apache.commons.io.CopyUtils.copy(InputStream,Writer)",1,1,1
"org.apache.commons.io.CopyUtils.copy(InputStream,Writer,String)",1,1,1
"org.apache.commons.io.CopyUtils.copy(Reader,OutputStream)",1,1,1
"org.apache.commons.io.CopyUtils.copy(Reader,Writer)",1,2,2
"org.apache.commons.io.CopyUtils.copy(String,OutputStream)",1,1,1
"org.apache.commons.io.CopyUtils.copy(String,Writer)",1,1,1
"org.apache.commons.io.CopyUtils.copy(byte[],OutputStream)",1,1,1
"org.apache.commons.io.CopyUtils.copy(byte[],Writer)",1,1,1
"org.apache.commons.io.CopyUtils.copy(byte[],Writer,String)",1,1,1
"org.apache.commons.io.DirectoryWalker.CancelException.CancelException(File,int)",1,1,1
"org.apache.commons.io.DirectoryWalker.CancelException.CancelException(String,File,int)",1,1,1
"org.apache.commons.io.DirectoryWalker.CancelException.getDepth()",1,1,1
"org.apache.commons.io.DirectoryWalker.CancelException.getFile()",1,1,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker()",1,1,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker(FileFilter,int)",1,1,1
"org.apache.commons.io.DirectoryWalker.DirectoryWalker(IOFileFilter,IOFileFilter,int)",1,2,5
"org.apache.commons.io.DirectoryWalker.checkIfCancelled(File,int,Collection<T>)",2,1,2
"org.apache.commons.io.DirectoryWalker.filterDirectoryContents(File,int,File[])",1,1,1
"org.apache.commons.io.DirectoryWalker.handleCancelled(File,Collection<T>,CancelException)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleDirectory(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleDirectoryEnd(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleDirectoryStart(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleEnd(Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleFile(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleIsCancelled(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleRestricted(File,int,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.handleStart(File,Collection<T>)",1,1,1
"org.apache.commons.io.DirectoryWalker.walk(File,Collection<T>)",2,2,3
"org.apache.commons.io.DirectoryWalker.walk(File,int,Collection<T>)",1,7,8
"org.apache.commons.io.EndianUtils.EndianUtils()",1,1,1
"org.apache.commons.io.EndianUtils.read(InputStream)",2,1,2
"org.apache.commons.io.EndianUtils.readSwappedDouble(InputStream)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedDouble(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedFloat(InputStream)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedFloat(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedInteger(InputStream)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedInteger(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedLong(InputStream)",1,2,2
"org.apache.commons.io.EndianUtils.readSwappedLong(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedShort(InputStream)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedShort(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedInteger(InputStream)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedInteger(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedShort(InputStream)",1,1,1
"org.apache.commons.io.EndianUtils.readSwappedUnsignedShort(byte[],int)",1,1,1
"org.apache.commons.io.EndianUtils.swapDouble(double)",1,1,1
"org.apache.commons.io.EndianUtils.swapFloat(float)",1,1,1
"org.apache.commons.io.EndianUtils.swapInteger(int)",1,1,1
"org.apache.commons.io.EndianUtils.swapLong(long)",1,1,1
"org.apache.commons.io.EndianUtils.swapShort(short)",1,1,1
