,CBO,DIT,LCOM,NOC,RFC,ShotgunSurgery,Unnamed: 0,WMC,cardinality,confidence,consequent_not_in_association,instance,lift,project_id,support
0,2.0,0.0,23.0,0.0,44.0,0.0,0.0,47.0,0.0,0.0,0.0,com.loomcom.ant.tasks.jarbundler.AppBundleProperties,0.0,49,0.0
1,1.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,com.loomcom.ant.tasks.jarbundler.AppBundleProperties.DocumentType,0.0,49,0.0
2,1.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,com.loomcom.ant.tasks.jarbundler.AppBundleProperties.Service,0.0,49,0.0
3,3.0,0.0,1.0,0.0,48.0,0.0,0.0,103.0,0.0,0.0,0.0,com.loomcom.ant.tasks.jarbundler.JarBundler,0.0,49,0.0
4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileList,0.0,49,0.0
5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,com.loomcom.ant.tasks.jarbundler.JarBundler.JarFileSet,0.0,49,0.0
6,2.0,0.0,13.0,0.0,14.0,0.0,0.0,13.0,0.0,0.0,0.0,com.microstar.xml.HandlerBase,0.0,49,0.0
7,2.0,0.0,4.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,com.microstar.xml.XmlException,0.0,49,0.0
8,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,com.microstar.xml.XmlHandler,0.0,49,0.0
9,1.0,0.0,1.0,0.0,117.0,0.0,0.0,448.0,0.0,0.0,0.0,com.microstar.xml.XmlParser,0.0,49,0.0
10,1.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,doclet.GenerateTocXML,0.0,49,0.0
