,AMWAMM_type,AMW_type,ATFD_method,ATFD_type,ATLD_method,Blob,CBO_type,CC_method,CDISP_method,CFNAMM_method,CFNAMM_type,CINT_method,CLNAMM_method,CM_method,CYCLO_method,DIT_type,FANOUT_method,FDP_type,LAA_method,LCOM5_type,LOCNAMM_type,LOC_method,LOC_package,LOC_project,LOC_type,MAXNESTING_method,NIM_type,NMO_type,NOAM_type,NOAV_method,NOA_type,NOCS_package,NOCS_project,NOCS_type,NOC_type,NOII_type,NOI_type,NOLV_method,NOMNAMM_type,NOM_package,NOM_project,NOM_type,NOPA_type,NOPK_project,NOP_method,RFC_type,TCC_type,Unnamed: 0,WMCWAMM_type,WMC_type,WOC_type,instance,method,project_id
0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,42.0,0.0,9.0,721.0,0.0,0.0,0.0,3.0,0.0,34.0,6.0,30.0,0.0,30.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,131.0,0.0,0.0,161.0,30.0,0.0,0.0,173.0,0.0,20.0,168.0,168.0,0.0,org.apache.tools.ant.AntClassLoader,0.0,108
1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,21.0,3.0,0.0,0.0,8.0,0.0,0.0,6.0,6.0,0.0,org.apache.tools.ant.AntClassLoader.ResourceEnumeration,0.0,108
2,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,1.0,199.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,7.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,41.0,7.0,0.0,0.0,41.0,0.0,0.0,42.0,42.0,0.0,org.apache.tools.ant.AntTypeDefinition,0.0,108
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,org.apache.tools.ant.ArgumentProcessor,0.0,108
4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,107.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,27.0,5.0,0.0,0.0,36.0,0.0,0.0,17.0,17.0,0.0,org.apache.tools.ant.ArgumentProcessorRegistry,0.0,108
5,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,0.0,5.0,52.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,34.0,8.0,0.0,0.0,15.0,0.0,0.0,11.0,11.0,0.0,org.apache.tools.ant.BuildEvent,0.0,108
6,0.0,0.0,0.0,0.0,0.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,662.0,0.0,2.0,40.0,0.0,0.0,0.0,4.0,0.0,24.0,1.0,7.0,0.0,7.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,59.0,0.0,0.0,66.0,7.0,0.0,0.0,18.0,0.0,0.0,11.0,11.0,0.0,org.apache.tools.ant.BuildException,0.0,108
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,org.apache.tools.ant.BuildListener,0.0,108
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,org.apache.tools.ant.BuildLogger,0.0,108
9,0.0,0.0,0.0,0.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,3.0,601.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,75.0,17.0,0.0,0.0,165.0,0.0,27.0,112.0,112.0,0.0,org.apache.tools.ant.ComponentHelper,0.0,108
10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,21.0,4.0,0.0,0.0,14.0,0.0,0.0,5.0,5.0,0.0,org.apache.tools.ant.DefaultDefinitions,0.0,108
11,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,6.0,167.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,7.0,0.0,7.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,43.0,0.0,0.0,50.0,7.0,0.0,0.0,51.0,0.0,0.0,37.0,37.0,0.0,org.apache.tools.ant.DefaultLogger,0.0,108
12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,29.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,org.apache.tools.ant.DemuxInputStream,0.0,108
13,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,97.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,38.0,7.0,0.0,0.0,24.0,0.0,0.0,19.0,19.0,0.0,org.apache.tools.ant.DemuxOutputStream,0.0,108
14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,org.apache.tools.ant.DemuxOutputStream.BufferInfo,0.0,108
15,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,425.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,55.0,8.0,0.0,0.0,107.0,0.0,0.0,69.0,69.0,0.0,org.apache.tools.ant.Diagnostics,0.0,108
