Package,v(G)avg,v(G)tot
"common","1,65",275
"controller","1,93",653
"controller.color","1,25",10
"controller.filter","2,07",213
"controller.filter.condition","2,13",198
"controller.filter.util","1,73",88
"controller.printpreview","1,48",31
"extensions","1,63",181
"main","2,56",1.345
"modes","2,11",1.416
"modes.attributes","2,10",21
"modes.browsemode","1,47",148
"modes.common","3,42",41
"modes.common.actions","3,47",66
"modes.common.dialogs","2,08",104
"modes.common.listeners","2,62",55
"modes.common.plugins","1,83",53
"modes.filemode","1,40",80
"modes.mindmapmode","2,30",682
"modes.mindmapmode.actions","1,97",355
"modes.mindmapmode.actions.xml","1,55",59
"modes.mindmapmode.actions.xml.actors","1,77",597
"modes.mindmapmode.dialogs","2,12",51
"modes.mindmapmode.hooks","2,16",54
"modes.mindmapmode.listeners","2,79",81
"modes.viewmodes","2,17",26
"preferences.layout","3,85",273
"swing","1,20",42
"view","1,43",33
"view.mindmapview","2,44",1.243

