Package,v(G)avg,v(G)tot
"argouml.application","4,86",34
"argouml.application.api","1,26",123
"argouml.application.configuration","1,76",86
"argouml.application.events","2,08",54
"argouml.application.helpers","1,00",33
"argouml.application.modules","4,14",120
"argouml.application.notation","1,47",50
"argouml.application.security","2,07",31
"argouml.cognitive","1,45",322
"argouml.cognitive.checklist","1,23",48
"argouml.cognitive.checklist.ui","1,76",44
"argouml.cognitive.critics","1,58",208
"argouml.cognitive.critics.ui","2,54",61
"argouml.cognitive.ui","2,37",477
"argouml.kernel","1,91",252
"argouml.language","1,00",6
"argouml.language.helpers","3,55",39
"argouml.language.java","1,06",18
"argouml.language.java.cognitive.critics","1,80",9
"argouml.language.java.generator","7,01",1.836
"argouml.language.java.ui","2,17",89
"argouml.language.ui","1,38",36
"argouml.ocl","5,09",112
"argouml.pattern.cognitive.critics","3,67",22
"argouml.persistence","3,77",196
"argouml.ui","1,85",989
"argouml.uml","2,84",745
"argouml.uml.cognitive","3,50",28
"argouml.uml.cognitive.checklist","1,20",24
"argouml.uml.cognitive.critics","3,29",1.246
"argouml.uml.diagram","1,22",11
"argouml.uml.diagram.activity.ui","2,33",91
"argouml.uml.diagram.collaboration","2,41",65
"argouml.uml.diagram.collaboration.ui","1,87",157
"argouml.uml.diagram.deployment","3,45",231
"argouml.uml.diagram.deployment.ui","2,90",429
"argouml.uml.diagram.sequence","2,14",92
"argouml.uml.diagram.sequence.ui","4,15",510
"argouml.uml.diagram.state","2,17",89
"argouml.uml.diagram.state.ui","1,57",564
"argouml.uml.diagram.static_structure","3,06",144
"argouml.uml.diagram.static_structure.layout","2,89",104
"argouml.uml.diagram.static_structure.ui","2,27",588
"argouml.uml.diagram.ui","1,89",738
"argouml.uml.diagram.use_case","2,89",101
"argouml.uml.diagram.use_case.ui","2,05",166
"argouml.uml.generator","3,48",313
"argouml.uml.generator.ui","3,53",53
"argouml.uml.reveng","2,11",38
"argouml.uml.reveng.java","5,84",1.285
"argouml.uml.ui","2,26",1.834
"argouml.uml.ui.behavior.activity_graphs","1,00",2
"argouml.uml.ui.behavior.collaborations","1,81",38
"argouml.uml.ui.behavior.common_behavior","2,05",80
"argouml.uml.ui.behavior.state_machines","1,69",100
"argouml.uml.ui.behavior.use_cases","2,33",14
"argouml.uml.ui.foundation.core","2,28",280
"argouml.uml.ui.foundation.extension_mechanisms","1,80",9
"argouml.uml.ui.model_management","1,28",46
"argouml.util","2,80",98
"argouml.util.logging","1,50",6
"argouml.xml","1,95",86
"argouml.xml.argo","2,33",42
"argouml.xml.pgml","1,67",5
"argouml.xml.xmi","2,40",12

