Package,C(rec),LOC(rec),METH(rec)
"",2.996,565.016,16.758
"analyzers",669,231.283,3.057
"analyzers.common",533,216.214,2.487
"analyzers.common.src",533,216.116,2.487
"analyzers.common.src.java",290,94.089,1.611
"analyzers.common.src.java.org",290,94.068,1.611
"analyzers.common.src.java.org.apache",264,69.202,1.251
"analyzers.common.src.java.org.apache.lucene",264,69.202,1.251
"analyzers.common.src.java.org.apache.lucene.analysis",264,69.202,1.251
"analyzers.common.src.java.org.apache.lucene.analysis.ar",7,635,25
"analyzers.common.src.java.org.apache.lucene.analysis.bg",4,325,10
"analyzers.common.src.java.org.apache.lucene.analysis.br",4,1.243,33
"analyzers.common.src.java.org.apache.lucene.analysis.ca",2,156,5
"analyzers.common.src.java.org.apache.lucene.analysis.charfilter",2,33.095,33
"analyzers.common.src.java.org.apache.lucene.analysis.cjk",5,787,25
"analyzers.common.src.java.org.apache.lucene.analysis.cn",3,309,12
"analyzers.common.src.java.org.apache.lucene.analysis.compound",15,2.813,144
"analyzers.common.src.java.org.apache.lucene.analysis.compound.hyphenation",11,1.834,103
"analyzers.common.src.java.org.apache.lucene.analysis.cz",4,464,15
"analyzers.common.src.java.org.apache.lucene.analysis.da",2,140,5
"analyzers.common.src.java.org.apache.lucene.analysis.de",9,1.032,34
"analyzers.common.src.java.org.apache.lucene.analysis.el",5,1.037,39
"analyzers.common.src.java.org.apache.lucene.analysis.en",16,7.508,65
"analyzers.common.src.java.org.apache.lucene.analysis.es",4,304,8
"analyzers.common.src.java.org.apache.lucene.analysis.eu",2,138,5
"analyzers.common.src.java.org.apache.lucene.analysis.fa",5,343,13
"analyzers.common.src.java.org.apache.lucene.analysis.fi",4,412,14
"analyzers.common.src.java.org.apache.lucene.analysis.fr",9,1.557,50
"analyzers.common.src.java.org.apache.lucene.analysis.ga",3,383,8
"analyzers.common.src.java.org.apache.lucene.analysis.gl",6,348,11
"analyzers.common.src.java.org.apache.lucene.analysis.hi",6,538,11
"analyzers.common.src.java.org.apache.lucene.analysis.hu",4,405,13
"analyzers.common.src.java.org.apache.lucene.analysis.hunspell",10,1.037,58
"analyzers.common.src.java.org.apache.lucene.analysis.hy",2,138,5
"analyzers.common.src.java.org.apache.lucene.analysis.id",4,432,16
"analyzers.common.src.java.org.apache.lucene.analysis.in",4,383,10
"analyzers.common.src.java.org.apache.lucene.analysis.it",4,325,8
"analyzers.common.src.java.org.apache.lucene.analysis.lv",5,353,11
"analyzers.common.src.java.org.apache.lucene.analysis.miscellaneous",11,872,52
"analyzers.common.src.java.org.apache.lucene.analysis.ngram",6,637,34
"analyzers.common.src.java.org.apache.lucene.analysis.nl",4,801,39
