Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"freemind.common.BooleanProperty.BooleanProperty(String,String)",4,34,n/a,3,2,2,5,1
"freemind.common.BooleanProperty.getDescription()",0,1,n/a,3,0,0,1,1
"freemind.common.BooleanProperty.getLabel()",0,1,n/a,3,0,0,1,1
"freemind.common.BooleanProperty.getValue()",1,0,n/a,3,0,0,1,2
"freemind.common.BooleanProperty.layout(DefaultFormBuilder,TextTranslator)",6,0,n/a,5,0,2,2,1
"freemind.common.BooleanProperty.setEnabled(boolean)",1,0,n/a,3,0,1,1,1
"freemind.common.BooleanProperty.setValue(String)",8,0,n/a,10,1,1,3,4
"freemind.common.ColorProperty.ColorProperty(String,String,String,TextTranslator)",3,10,n/a,17,0,4,8,1
"freemind.common.ColorProperty.actionPerformed(ActionEvent)",7,0,n/a,9,1,1,4,2
"freemind.common.ColorProperty.getColorValue()",0,2,n/a,5,0,0,1,1
"freemind.common.ColorProperty.getDescription()",0,1,n/a,3,0,0,1,1
"freemind.common.ColorProperty.getLabel()",0,2,n/a,3,0,0,1,1
"freemind.common.ColorProperty.getValue()",2,0,n/a,3,0,0,1,1
"freemind.common.ColorProperty.layout(DefaultFormBuilder,TextTranslator)",24,0,n/a,5,3,2,11,3
"freemind.common.ColorProperty.setColorValue(Color)",3,2,n/a,10,1,1,5,2
"freemind.common.ColorProperty.setEnabled(boolean)",1,0,n/a,3,0,1,1,1
"freemind.common.ColorProperty.setValue(String)",2,1,n/a,3,0,1,1,1
"freemind.common.ComboProperty.ComboProperty(String,String,List<String>,List<String>)",4,0,n/a,8,0,4,4,1
"freemind.common.ComboProperty.ComboProperty(String,String,String[],List<String>)",5,0,n/a,9,0,4,5,1
"freemind.common.ComboProperty.ComboProperty(String,String,String[],TextTranslator)",8,0,n/a,17,1,4,9,2
"freemind.common.ComboProperty.addActionListener()",3,2,n/a,3,2,0,2,1
"freemind.common.ComboProperty.fillPossibleValues(List<String>)",2,2,n/a,6,0,1,2,1
"freemind.common.ComboProperty.fillPossibleValues(String[])",2,2,n/a,5,0,1,1,1
"freemind.common.ComboProperty.getDescription()",0,2,n/a,3,0,0,1,1
"freemind.common.ComboProperty.getLabel()",0,2,n/a,3,0,0,1,1
"freemind.common.ComboProperty.getValue()",2,0,n/a,3,0,0,1,1
"freemind.common.ComboProperty.layout(DefaultFormBuilder,TextTranslator)",6,0,n/a,5,0,2,2,1
"freemind.common.ComboProperty.setEnabled(boolean)",1,0,n/a,3,0,1,1,1
"freemind.common.ComboProperty.setValue(String)",9,3,n/a,12,2,1,5,3
"freemind.common.ComboProperty.updateComboBoxEntries(List<String>,List<String>)",6,1,n/a,14,1,2,4,2
"freemind.common.DontShowNotificationProperty.DontShowNotificationProperty(String,String)",1,5,n/a,5,0,2,3,1
"freemind.common.FontProperty.FontProperty(String,String,TextTranslator)",8,1,n/a,3,2,3,7,1
"freemind.common.FontProperty.getDescription()",0,1,n/a,3,0,0,1,1
"freemind.common.FontProperty.getLabel()",0,1,n/a,3,0,0,1,1
"freemind.common.FontProperty.getValue()",1,0,n/a,3,0,0,1,1
"freemind.common.FontProperty.layout(DefaultFormBuilder,TextTranslator)",6,0,n/a,5,0,2,2,1
"freemind.common.FontProperty.setEnabled(boolean)",1,0,n/a,3,0,1,1,1
"freemind.common.FontProperty.setValue(String)",6,0,n/a,13,2,1,10,4
"freemind.common.FreeMindProgressMonitor.FreeMindProgressMonitor(String)",23,1,n/a,3,2,1,21,2
"freemind.common.FreeMindProgressMonitor.dismiss()",7,2,n/a,11,0,0,4,1
"freemind.common.FreeMindProgressMonitor.getString(String)",2,2,n/a,3,0,1,1,1
"freemind.common.FreeMindProgressMonitor.main(String[])",11,0,n/a,20,2,1,14,3
"freemind.common.FreeMindProgressMonitor.setProgress(int)",3,1,n/a,3,2,1,3,1
"freemind.common.FreeMindProgressMonitor.showProgress(int,String,Object[])",6,1,n/a,3,2,3,4,1
"freemind.common.FreeMindProgressMonitor.showProgress(int,int,String,Object[])",4,1,n/a,3,2,4,3,1
"freemind.common.FreeMindTask.FreeMindTask(RootPaneContainer,int,String)",19,0,n/a,25,1,3,16,1
"freemind.common.FreeMindTask.ProgressDescription.ProgressDescription(String,Object[])",1,1,n/a,10,0,2,3,1
"freemind.common.FreeMindTask.getAmountOfSteps()",0,0,n/a,3,0,0,1,1
"freemind.common.FreeMindTask.getRounds()",0,0,n/a,3,0,0,1,1
"freemind.common.FreeMindTask.isFinished()",0,0,n/a,3,0,0,1,1
"freemind.common.FreeMindTask.isInterrupted()",0,1,n/a,3,0,0,1,1
"freemind.common.FreeMindTask.processAction()",n/a,1,0,n/a,n/a,0,n/a,n/a
"freemind.common.FreeMindTask.run()",19,0,n/a,5,4,0,31,10
"freemind.common.FreeMindTask.setAmountOfSteps(int)",0,0,n/a,3,0,1,1,1
"freemind.common.FreeMindTask.setFinished(boolean)",0,1,n/a,3,0,1,1,1
"freemind.common.FreeMindTask.setInterrupted(boolean)",0,0,n/a,3,0,1,1,1
"freemind.common.IconProperty.IconProperty(String,String,FreeMindMain,Vector<MindIcon>)",3,1,n/a,10,0,4,7,1
"freemind.common.IconProperty.actionPerformed(ActionEvent)",16,0,n/a,19,1,1,14,3
"freemind.common.IconProperty.getDescription()",0,1,n/a,3,0,0,1,1
"freemind.common.IconProperty.getLabel()",0,1,n/a,3,0,0,1,1
"freemind.common.IconProperty.getValue()",1,0,n/a,3,0,0,1,1
"freemind.common.IconProperty.layout(DefaultFormBuilder,TextTranslator)",6,0,n/a,4,0,2,2,1
"freemind.common.IconProperty.setEnabled(boolean)",1,0,n/a,3,0,1,1,1
"freemind.common.IconProperty.setIcon(MindIcon)",4,1,n/a,4,0,1,2,1
"freemind.common.IconProperty.setValue(String)",3,1,n/a,8,2,1,4,3
"freemind.common.JOptionalSplitPane.JOptionalSplitPane()",2,2,n/a,3,0,0,1,1
"freemind.common.JOptionalSplitPane.checkIndex(int)",1,2,n/a,8,1,1,2,3
